GAcX= -0.01 | GAcY= 0.00 | GAcZ= 0.23
GAcX= -0.01 | GAcY= -0.01 | GAcZ= 0.24
GAcX= -0.01 | GAcY= -0.01 | GAcZ= 0.25
GAcX= -0.01 | GAcY= -0.01 | GAcZ= 0.24
GAcX= -0.02 | GAcY= -0.02 | GAcZ= 0.24
GAcX= -0.03 | GAcY= -0.03 | GAcZ= 0.26
GAcX= -0.04 | GAcY= -0.02 | GAcZ= 0.26
GAcX= -0.03 | GAcY= -0.03 | GAcZ= 0.26
GAcX= -0.04 | GAcY= -0.03 | GAcZ= 0.26
GAcX= -0.05 | GAcY= -0.03 | GAcZ= 0.26
GAcX= -0.04 | GAcY= -0.03 | GAcZ= 0.26
GAcX= -0.05 | GAcY= -0.03 | GAcZ= 0.27
GAcX= -0.05 | GAcY= -0.03 | GAcZ= 0.28
GAcX= -0.05 | GAcY= -0.03 | GAcZ= 0.29
GAcX= -0.04 | GAcY= -0.03 | GAcZ= 0.32
GAcX= 0.01 | GAcY= 0.04 | GAcZ= 0.33
GAcX= -0.03 | GAcY= -0.04 | GAcZ= 0.37
GAcX= -0.08 | GAcY= -0.03 | GAcZ= 0.41
GAcX= -0.07 | GAcY= -0.03 | GAcZ= 0.38
GAcX= -0.04 | GAcY= -0.03 | GAcZ= 0.39
GAcX= -0.02 | GAcY= -0.03 | GAcZ= 0.40
GAcX= -0.01 | GAcY= -0.02 | GAcZ= 0.41
GAcX= -0.02 | GAcY= -0.03 | GAcZ= 0.41
GAcX= -0.02 | GAcY= -0.02 | GAcZ= 0.42
GAcX= -0.03 | GAcY= -0.03 | GAcZ= 0.42
GAcX= -0.04 | GAcY= -0.03 | GAcZ= 0.43
GAcX= -0.05 | GAcY= -0.03 | GAcZ= 0.44
GAcX= -0.06 | GAcY= -0.02 | GAcZ= 0.44
GAcX= -0.06 | GAcY= -0.02 | GAcZ= 0.45
GAcX= -0.06 | GAcY= -0.01 | GAcZ= 0.46
GAcX= -0.05 | GAcY= -0.01 | GAcZ= 0.46
GAcX= -0.05 | GAcY= -0.01 | GAcZ= 0.47
GAcX= -0.04 | GAcY= -0.01 | GAcZ= 0.46
GAcX= -0.03 | GAcY= -0.01 | GAcZ= 0.47
GAcX= -0.02 | GAcY= -0.00 | GAcZ= 0.47
GAcX= -0.02 | GAcY= -0.00 | GAcZ= 0.46
GAcX= -0.02 | GAcY= 0.00 | GAcZ= 0.47
GAcX= -0.02 | GAcY= 0.00 | GAcZ= 0.46
GAcX= -0.02 | GAcY= 0.00 | GAcZ= 0.46
GAcX= -0.03 | GAcY= 0.01 | GAcZ= 0.45
GAcX= -0.03 | GAcY= -0.00 | GAcZ= 0.45
GAcX= -0.03 | GAcY= -0.01 | GAcZ= 0.43
GAcX= -0.04 | GAcY= -0.01 | GAcZ= 0.43
GAcX= -0.05 | GAcY= 0.00 | GAcZ= 0.41
GAcX= -0.05 | GAcY= -0.02 | GAcZ= 0.39
GAcX= -0.03 | GAcY= -0.01 | GAcZ= 0.39
GAcX= -0.02 | GAcY= -0.01 | GAcZ= 0.36
GAcX= -0.02 | GAcY= -0.02 | GAcZ= 0.35
GAcX= -0.02 | GAcY= -0.02 | GAcZ= 0.34
GAcX= -0.02 | GAcY= -0.02 | GAcZ= 0.32
GAcX= -0.01 | GAcY= -0.02 | GAcZ= 0.29
GAcX= -0.01 | GAcY= -0.02 | GAcZ= 0.28
GAcX= -0.01 | GAcY= -0.03 | GAcZ= 0.26
GAcX= -0.03 | GAcY= -0.02 | GAcZ= 0.25
GAcX= -0.03 | GAcY= -0.02 | GAcZ= 0.24
GAcX= -0.03 | GAcY= -0.02 | GAcZ= 0.23
GAcX= -0.03 | GAcY= -0.02 | GAcZ= 0.23
GAcX= -0.04 | GAcY= -0.02 | GAcZ= 0.21
GAcX= -0.04 | GAcY= -0.01 | GAcZ= 0.18
