GAcX= 0.02 | GAcY= -0.00 | GAcZ= 0.00
GAcX= 0.02 | GAcY= -0.00 | GAcZ= -0.02
GAcX= 0.01 | GAcY= -0.00 | GAcZ= -0.01
GAcX= 0.00 | GAcY= -0.00 | GAcZ= -0.03
GAcX= -0.01 | GAcY= -0.00 | GAcZ= -0.02
GAcX= -0.01 | GAcY= -0.00 | GAcZ= -0.01
GAcX= -0.02 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.03 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.03 | GAcY= 0.00 | GAcZ= -0.03
GAcX= -0.02 | GAcY= -0.00 | GAcZ= -0.03
GAcX= -0.02 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.02 | GAcY= -0.00 | GAcZ= -0.03
GAcX= -0.02 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.03
GAcX= -0.00 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.02 | GAcY= 0.00 | GAcZ= -0.03
GAcX= -0.01 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.00 | GAcY= -0.00 | GAcZ= -0.02
GAcX= -0.00 | GAcY= 0.00 | GAcZ= -0.01
GAcX= 0.00 | GAcY= 0.01 | GAcZ= -0.01
GAcX= 0.01 | GAcY= 0.01 | GAcZ= -0.01
GAcX= 0.01 | GAcY= -0.00 | GAcZ= -0.01
GAcX= 0.01 | GAcY= 0.00 | GAcZ= -0.01
GAcX= 0.01 | GAcY= -0.00 | GAcZ= -0.01
GAcX= 0.01 | GAcY= 0.00 | GAcZ= -0.00
GAcX= 0.01 | GAcY= 0.00 | GAcZ= -0.01
GAcX= 0.01 | GAcY= 0.00 | GAcZ= -0.02
GAcX= 0.01 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.00 | GAcY= 0.00 | GAcZ= -0.01
GAcX= -0.01 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.03
GAcX= -0.02 | GAcY= 0.00 | GAcZ= -0.03
GAcX= -0.06 | GAcY= 0.00 | GAcZ= -1.37
GAcX= 0.34 | GAcY= -0.02 | GAcZ= -0.84
GAcX= -0.01 | GAcY= 0.82 | GAcZ= 2.42
GAcX= -1.61 | GAcY= 0.69 | GAcZ= 2.25
GAcX= -0.07 | GAcY= 0.42 | GAcZ= -0.66
