Timestamp,GAcX,GAcY,GAcZ
2025-02-03 19:31:02,-0.0,0.0,-0.01
2025-02-03 19:31:02,0.0,0.0,0.0
2025-02-03 19:31:02,-0.0,0.0,0.01
2025-02-03 19:31:02,0.0,-0.0,-0.01
2025-02-03 19:31:02,-0.0,-0.0,0.01
2025-02-03 19:31:02,0.0,-0.0,0.0
2025-02-03 19:31:02,0.0,0.0,0.0
2025-02-03 19:31:02,0.0,-0.0,-0.0
2025-02-03 19:31:02,0.0,0.0,-0.01
2025-02-03 19:31:02,0.0,-0.0,-0.0
2025-02-03 19:31:02,0.0,0.0,0.0
2025-02-03 19:31:02,-0.0,-0.0,-0.01
2025-02-03 19:31:02,-0.01,0.0,0.0
2025-02-03 19:31:02,-0.0,0.0,-0.0
2025-02-03 19:31:02,0.0,-0.0,-0.01
2025-02-03 19:31:02,-0.0,0.0,0.0
2025-02-03 19:31:02,-0.0,0.0,0.0
2025-02-03 19:31:02,-0.0,0.01,0.0
2025-02-03 19:31:02,-0.0,-0.01,-0.0
2025-02-03 19:31:02,0.0,-0.0,0.0
2025-02-03 19:31:02,0.0,0.0,0.0
2025-02-03 19:31:02,-0.01,-0.0,0.01
2025-02-03 19:31:02,0.0,-0.0,-0.0
2025-02-03 19:31:02,0.0,0.0,0.0
2025-02-03 19:31:02,0.01,-0.0,0.0
2025-02-03 19:31:02,-0.0,-0.0,0.0
2025-02-03 19:31:02,0.0,-0.0,0.0
2025-02-03 19:31:02,0.01,0.0,-0.0
2025-02-03 19:31:02,-0.0,-0.0,0.0
2025-02-03 19:31:02,0.0,-0.0,0.01
2025-02-03 19:31:02,-0.0,0.0,-0.01
2025-02-03 19:31:02,0.0,0.0,0.0
2025-02-03 19:31:02,0.0,0.0,0.0
2025-02-03 19:31:02,0.0,0.0,0.0
2025-02-03 19:31:02,-0.0,-0.0,0.0
2025-02-03 19:31:02,-0.0,0.0,-0.01
2025-02-03 19:31:02,-0.0,0.0,-0.0
2025-02-03 19:31:02,0.0,-0.0,0.0
2025-02-03 19:31:02,0.0,0.0,-0.0
2025-02-03 19:31:02,0.01,0.0,0.0
2025-02-03 19:31:02,-0.0,-0.01,-0.0
2025-02-03 19:31:02,-0.0,-0.0,-0.0
2025-02-03 19:31:02,-0.0,-0.0,0.0
2025-02-03 19:31:02,-0.0,-0.0,-0.0
2025-02-03 19:31:02,-0.0,-0.0,0.0
2025-02-03 19:31:02,-0.0,0.0,0.0
2025-02-03 19:31:03,-0.01,0.0,-0.0
2025-02-03 19:31:03,-0.61,-0.37,0.4
2025-02-03 19:31:03,0.87,-0.37,-2.0
2025-02-03 19:31:03,-4.34,3.28,7.1
2025-02-03 19:31:03,1.57,0.06,-1.36
2025-02-03 19:31:03,0.01,0.06,-0.86
2025-02-03 19:31:03,0.82,-0.17,-1.56
2025-02-03 19:31:03,0.1,-0.0,-0.9
2025-02-03 19:31:03,-1.26,-0.41,-2.65
2025-02-03 19:31:03,-0.25,0.07,0.78
2025-02-03 19:31:03,-0.09,0.01,0.42
2025-02-03 19:31:03,0.42,-0.25,-0.85
2025-02-03 19:31:03,0.26,-0.09,-0.1
2025-02-03 19:31:03,-0.21,0.03,0.64
2025-02-03 19:31:03,-0.02,0.16,-0.21
2025-02-03 19:31:03,0.01,-0.01,-0.76
2025-02-03 19:31:03,-0.04,0.0,-0.2
2025-02-03 19:31:03,-0.14,0.05,0.32
2025-02-03 19:31:03,-0.09,0.0,0.47
2025-02-03 19:31:03,0.18,-0.12,0.09
2025-02-03 19:31:03,0.15,-0.1,-0.09
2025-02-03 19:31:03,0.1,0.02,-0.02
2025-02-03 19:31:03,-0.02,0.08,0.02
2025-02-03 19:31:03,-0.15,0.07,0.06
2025-02-03 19:31:03,-0.13,0.09,-0.01
2025-02-03 19:31:03,-0.16,0.05,0.05
2025-02-03 19:31:03,-0.03,0.02,0.22
2025-02-03 19:31:03,0.19,-0.05,-0.15
2025-02-03 19:31:03,0.1,-0.11,-0.03
2025-02-03 19:31:03,0.18,-0.07,-0.06
2025-02-03 19:31:03,-0.01,-0.05,0.0
2025-02-03 19:31:03,-0.06,0.01,0.0
2025-02-03 19:31:03,-0.14,0.04,-0.02
2025-02-03 19:31:03,-0.21,0.07,0.16
2025-02-03 19:31:03,-0.01,0.07,-0.03
2025-02-03 19:31:03,-0.02,0.01,0.0
2025-02-03 19:31:03,0.08,-0.02,0.03
2025-02-03 19:31:03,0.07,-0.05,-0.03
2025-02-03 19:31:03,0.05,-0.05,0.01
2025-02-03 19:31:03,0.07,-0.02,-0.06
2025-02-03 19:31:03,-0.05,0.0,0.02
2025-02-03 19:31:03,-0.03,0.03,-0.0
2025-02-03 19:31:03,-0.06,0.03,0.0
2025-02-03 19:31:03,-0.01,0.05,0.03
2025-02-03 19:31:03,0.01,0.03,-0.04
2025-02-03 19:31:03,-0.03,-0.0,0.04
2025-02-03 19:31:03,0.06,-0.01,-0.02
2025-02-03 19:31:03,-0.01,-0.04,-0.01
2025-02-03 19:31:03,0.02,-0.03,0.01
2025-02-03 19:31:03,-0.01,-0.03,-0.03
2025-02-03 19:31:03,-0.02,-0.0,0.03
2025-02-03 19:31:03,0.01,0.03,0.01
2025-02-03 19:31:03,-0.03,0.02,0.04
2025-02-03 19:31:03,-0.01,0.04,-0.02
2025-02-03 19:31:03,-0.04,0.02,0.0
2025-02-03 19:31:03,-0.03,0.01,0.02
2025-02-03 19:31:03,-0.01,-0.02,0.0
2025-02-03 19:31:03,0.04,-0.03,-0.02
2025-02-03 19:31:03,0.05,-0.03,-0.02
2025-02-03 19:31:03,0.04,-0.02,0.01
2025-02-03 19:31:03,0.03,0.0,-0.04
2025-02-03 19:31:03,-0.04,0.01,0.02
2025-02-03 19:31:03,-0.04,0.04,0.02
2025-02-03 19:31:03,-0.03,0.03,-0.03
2025-02-03 19:31:03,-0.04,0.02,0.01
2025-02-03 19:31:03,-0.01,0.01,-0.02
2025-02-03 19:31:03,0.01,-0.01,0.0
2025-02-03 19:31:03,0.04,-0.02,0.0
2025-02-03 19:31:03,0.04,-0.03,-0.01
2025-02-03 19:31:03,0.02,-0.01,-0.01
2025-02-03 19:31:03,-0.02,0.01,-0.01
2025-02-03 19:31:03,-0.05,0.02,0.05
2025-02-03 19:31:03,-0.03,0.03,-0.01
2025-02-03 19:31:03,-0.03,0.01,-0.0
2025-02-03 19:31:03,0.02,0.01,-0.01
2025-02-03 19:31:03,0.01,-0.02,0.01
2025-02-03 19:31:03,0.03,-0.02,0.0
2025-02-03 19:31:03,0.03,-0.02,-0.02
2025-02-03 19:31:03,0.01,-0.02,0.0
2025-02-03 19:31:03,0.01,0.01,-0.02
2025-02-03 19:31:03,-0.04,0.01,0.01
2025-02-03 19:31:03,-0.01,0.01,-0.0
2025-02-03 19:31:03,-0.01,0.0,0.0
2025-02-03 19:31:03,-0.0,0.0,-0.0
2025-02-03 19:31:03,0.0,-0.01,-0.01
2025-02-03 19:31:03,0.01,-0.01,-0.01
2025-02-03 19:31:03,0.01,-0.02,-0.0
2025-02-03 19:31:03,0.01,-0.01,-0.01
2025-02-03 19:31:03,-0.0,0.0,0.01
2025-02-03 19:31:03,-0.01,0.01,0.02
2025-02-03 19:31:03,-0.0,0.02,-0.0
2025-02-03 19:31:03,-0.02,0.01,0.01
2025-02-03 19:31:03,-0.02,-0.0,0.01
2025-02-03 19:31:03,-0.01,-0.02,0.0
2025-02-03 19:31:03,0.01,-0.01,-0.02
